,yields
298,1.1041686745070653e-05
299,7.303676265989743e-06
300,1.2728718636904576e-05
301,1.0000000000000546
302,1.0000000000000828
303,0.9646008328473319
304,4.929687026009804e-05
305,3.4086341783772684e-06
306,0.0932640232013928
307,5.80258779797213e-05
308,0.9884525941516242
309,1.00000000000014
310,1.0000000000004807
311,0.9517702014949763
312,0.12490519946677014
313,0.9999999999265844
314,0.1545288711305198
315,0.0006390430964644411
316,0.00043283792968164486
317,0.0007089648182623681
318,0.0002068465890542783
319,1.0259802290362168e-06
320,1.0000000050160316
321,0.9998200615198282
322,0.9999660665270067
323,9.563782861040501e-05
324,3.5443430999057525e-06
325,6.158362213115666e-06
326,0.9999999999999694
327,1.0000000017696185
328,1.0000000000001967
329,1.0000000000107412
330,3.0228834723765415e-05
331,0.0012787448261352753
332,0.9971898205590704
333,0.9999999851833059
334,0.02405495576866423
335,0.650442006954872
336,4.77700150990316e-07
337,0.9999999782622075
338,1.900118720704579e-06
339,0.9847440038990453
340,1.000000000000026
341,0.0016475970139998774
342,0.9999990396009266
343,0.9870410123943549
344,4.284995220510045e-06
345,0.9999999999855594
346,0.0002687956532557426
347,0.9999905191872561
348,0.01977847168997656
349,2.9706101756093504e-05
350,1.0000000000001115
351,0.005403227592338815
352,9.732899408780895e-05
353,0.9999999999999694
354,5.392924223474659e-06
355,0.9999996429724453
356,0.009263576022218134
357,0.0003431378248214771
358,0.9999999999995145
359,1.1425468263582872e-06
360,0.0002217426042272945
361,0.000418190807091571
362,0.6323606229800218
363,0.0002675124553130758
364,0.0017702692219503577
365,1.000000000000026
366,0.004037721332351269
367,1.1445767907807629e-07
368,2.42503787904396e-05
369,1.2011102076512918e-05
370,0.0052785700816670575
371,0.004029114940972914
372,8.359382814113715e-05
373,3.4928218210055245e-05
374,1.0000000000012768
375,1.1567511388870733e-05
376,1.0000000043042383
377,1.0000000041833323
378,1.000000003657957
379,5.252042799673191e-06
380,0.9999958137277423
381,0.5981996435770587
382,0.2376578427865509
383,0.0005136206468179311
384,0.0011098543990497485
385,6.66899615615864e-06
386,0.9590181915340207
387,5.789020994563565e-06
388,0.03970083846104499
389,0.0007605435236064102
390,0.18617787441644046
391,6.229298254648878e-05
392,2.1324213302479958e-06
393,1.000000000510736
394,0.00030829860777958787
395,2.7408215582639894e-05
396,1.0000000002426053
397,0.9999999999999123
398,0.0003383107121272196
399,0.9999999999134109
400,0.20203640169448364
401,0.050036040630594816
402,0.9999730801474506
403,2.2779558773967827e-08
404,0.0023036325723213313
405,1.2025827212649827e-05
406,0.9999999994389248
407,9.841708521003139e-05
408,0.0036152212916474567
